                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6429,                 3.1748,                 1.5839,                0.05455,                      1,                 0.5923,                0.47384,                 1.1881,                 3.2774,                 1.3421,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.7516,                  3.393,                 1.6744,                0.05607,                      1,                0.65339,                0.47993,                 1.3364,                 3.1409,                 1.3577,               0.097285,             0.00028515,             0.00028515
                      2,                 1.8311,                 3.3903,                 1.7489,                 0.0625,                      1,                0.70563,                0.52022,                 1.2999,                 2.8788,                 1.3367,               0.095451,              0.0004505,              0.0004505
                      3,                 1.6878,                 2.7158,                 1.6208,                      1,                0.43853,                0.83325,                0.53902,                  1.159,                 2.5013,                 1.2856,               0.093596,             0.00059605,             0.00059605
                      4,                 2.0253,                 3.2328,                 1.8581,                0.77805,                    0.5,                0.76676,                0.53998,                 1.0746,                 2.0496,                  1.259,               0.091722,              0.0007218,              0.0007218
                      5,                 1.7547,                 2.5879,                 1.6757,                0.79897,                0.66325,                0.73956,                0.54063,                 1.0558,                 1.6229,                 1.2496,               0.089828,             0.00082775,             0.00082775
                      6,                 1.6038,                 2.5591,                   1.64,                0.75051,                0.66667,                0.72012,                0.55784,                0.91912,                 1.3416,                 1.2243,               0.087914,              0.0009139,              0.0009139
                      7,                 1.6237,                 2.1967,                 1.5906,                  0.755,                0.66667,                0.70652,                0.54302,                0.96163,                 1.2249,                 1.2332,                0.08598,             0.00098025,             0.00098025
                      8,                 1.7463,                 2.3497,                 1.6784,                0.98081,                    0.5,                 0.6576,                  0.549,                0.86301,                 1.1753,                 1.2076,               0.084027,              0.0010268,              0.0010268
                      9,                 1.7183,                 1.9724,                 1.6436,                0.98067,                    0.5,                0.65517,                0.52867,                0.86198,                  1.221,                 1.2256,               0.082054,              0.0010536,              0.0010536
                     10,                 1.0904,                 1.5854,                 1.3398,                  0.979,                    0.5,                0.64658,                0.52682,                0.87697,                 1.2457,                 1.2515,               0.080061,              0.0010605,              0.0010605
                     11,                 1.1782,                 1.2496,                 1.2999,                0.97675,                    0.5,                0.63805,                 0.5247,                0.82823,                 1.2098,                 1.2345,               0.078048,              0.0010477,              0.0010477
                     12,                0.94141,                 1.4766,                 1.2194,                0.97309,                    0.5,                0.61869,                0.51865,                0.82085,                 1.2269,                 1.2356,               0.076015,               0.001015,               0.001015
                     13,                0.98318,                 1.1647,                 1.2376,                0.97607,                    0.5,                0.61794,                0.52048,                 0.8801,                 1.2517,                 1.2509,               0.073963,             0.00096255,             0.00096255
                     14,                0.95871,                 1.2285,                 1.2686,                0.97851,                    0.5,                0.64081,                0.52409,                0.93352,                 1.3057,                 1.2847,                0.07189,              0.0008903,              0.0008903
                     15,                 1.0315,                 1.2665,                 1.2794,                0.97998,                    0.5,                0.65407,                 0.5261,                0.80038,                 1.1379,                 1.2011,               0.069798,             0.00079825,             0.00079825
                     16,                0.86311,                 1.0593,                 1.1442,                 0.9814,                    0.5,                 0.6589,                0.53119,                0.89179,                 1.2121,                 1.2525,               0.067686,              0.0006864,              0.0006864
                     17,                 0.9298,                0.92399,                 1.1315,                0.98201,                    0.5,                0.63549,                0.52427,                 0.8883,                 1.2497,                  1.259,               0.065555,             0.00055475,             0.00055475
                     18,                 1.0163,                 1.1118,                 1.2576,                0.98125,                    0.5,                0.62178,                  0.518,                 0.9843,                 1.4038,                 1.3506,               0.063403,              0.0004033,              0.0004033
                     19,                0.92767,                 1.1286,                 1.2195,                0.98186,                    0.5,                0.61362,                0.51845,                0.96723,                 1.4159,                   1.34,               0.061232,             0.00023205,             0.00023205
